*** Setting up environment
*** Setting up first AFP user
*** Configuring shared volume
*** Fixing permissions
*** Removing residual lock files
*** Configuring Netatalk
NOTE: Set the `ATALKD_INTERFACE' environment variable to start DDP services.
*** Starting AFP server
*** Running testsuite: speed

test_name,iteration,file_size_mb,microseconds,throughput_mbs
Read,1,0.004,42,93.01
Read,2,0.004,40,97.66
Read,3,0.004,41,95.27
Read,4,0.004,42,93.01
Read,5,0.004,39,100.16
Read_mean,,0.004,40,95.74
Read_median,,0.004,41,95.27
Read_stddev,,0.004,1,
Read_min,,0.004,39,100.16
Read_max,,0.004,42,93.01
Write,1,0.004,367,10.64
Write,2,0.004,361,10.82
Write,3,0.004,311,12.56
Write,4,0.004,309,12.64
Write,5,0.004,390,10.02
Write_mean,,0.004,347,11.24
Write_median,,0.004,361,10.82
Write_stddev,,0.004,32,
Write_min,,0.004,309,12.64
Write_max,,0.004,390,10.02
Copy,1,0.004,87,44.90
Copy,2,0.004,84,46.50
Copy,3,0.004,82,47.64
Copy,4,0.004,81,48.23
Copy,5,0.004,82,47.64
Copy_mean,,0.004,83,46.95
Copy_median,,0.004,82,47.64
Copy_stddev,,0.004,2,
Copy_min,,0.004,81,48.23
Copy_max,,0.004,87,44.90
ServerCopy,1,0.004,349,11.19
ServerCopy,2,0.004,335,11.66
ServerCopy,3,0.004,347,11.26
ServerCopy,4,0.004,327,11.95
ServerCopy,5,0.004,386,10.12
ServerCopy_mean,,0.004,348,11.20
ServerCopy_median,,0.004,347,11.26
ServerCopy_stddev,,0.004,20,
ServerCopy_min,,0.004,327,11.95
ServerCopy_max,,0.004,386,10.12
Read,1,0.008,49,159.44
Read,2,0.008,48,162.76
Read,3,0.008,47,166.22
Read,4,0.008,60,130.21
Read,5,0.008,47,166.22
Read_mean,,0.008,50,155.63
Read_median,,0.008,48,162.76
Read_stddev,,0.008,4,
Read_min,,0.008,47,166.22
Read_max,,0.008,60,130.21
Write,1,0.008,354,22.07
Write,2,0.008,330,23.67
Write,3,0.008,363,21.52
Write,4,0.008,336,23.25
Write,5,0.008,393,19.88
Write_mean,,0.008,355,21.99
Write_median,,0.008,354,22.07
Write_stddev,,0.008,22,
Write_min,,0.008,330,23.67
Write_max,,0.008,393,19.88
Copy,1,0.008,95,82.24
Copy,2,0.008,94,83.11
Copy,3,0.008,92,84.92
Copy,4,0.008,92,84.92
Copy,5,0.008,123,63.52
Copy_mean,,0.008,99,78.76
Copy_median,,0.008,94,83.11
Copy_stddev,,0.008,11,
Copy_min,,0.008,92,84.92
Copy_max,,0.008,123,63.52
ServerCopy,1,0.008,351,22.26
ServerCopy,2,0.008,316,24.72
ServerCopy,3,0.008,411,19.01
ServerCopy,4,0.008,323,24.19
ServerCopy,5,0.008,312,25.04
ServerCopy_mean,,0.008,342,22.80
ServerCopy_median,,0.008,323,24.19
ServerCopy_stddev,,0.008,36,
ServerCopy_min,,0.008,312,25.04
ServerCopy_max,,0.008,411,19.01
Read,1,0.016,44,355.11
Read,2,0.016,46,339.67
Read,3,0.016,42,372.02
Read,4,0.016,42,372.02
Read,5,0.016,42,372.02
Read_mean,,0.016,43,361.69
Read_median,,0.016,42,372.02
Read_stddev,,0.016,1,
Read_min,,0.016,42,372.02
Read_max,,0.016,46,339.67
Write,1,0.016,888,17.60
Write,2,0.016,439,35.59
Write,3,0.016,560,27.90
Write,4,0.016,555,28.15
Write,5,0.016,443,35.27
Write_mean,,0.016,577,27.08
Write_median,,0.016,555,28.15
Write_stddev,,0.016,164,
Write_min,,0.016,439,35.59
Write_max,,0.016,888,17.60
Copy,1,0.016,97,161.08
Copy,2,0.016,98,159.44
Copy,3,0.016,98,159.44
Copy,4,0.016,96,162.76
Copy,5,0.016,97,161.08
Copy_mean,,0.016,97,160.75
Copy_median,,0.016,97,161.08
Copy_stddev,,0.016,0,
Copy_min,,0.016,96,162.76
Copy_max,,0.016,98,159.44
ServerCopy,1,0.016,505,30.94
ServerCopy,2,0.016,336,46.50
ServerCopy,3,0.016,346,45.16
ServerCopy,4,0.016,353,44.26
ServerCopy,5,0.016,347,45.03
ServerCopy_mean,,0.016,377,41.40
ServerCopy_median,,0.016,347,45.03
ServerCopy_stddev,,0.016,64,
ServerCopy_min,,0.016,336,46.50
ServerCopy_max,,0.016,505,30.94
Read,1,0.031,49,637.76
Read,2,0.031,49,637.76
Read,3,0.031,46,679.35
Read,4,0.031,50,625.00
Read,5,0.031,45,694.44
Read_mean,,0.031,47,653.77
Read_median,,0.031,49,637.76
Read_stddev,,0.031,1,
Read_min,,0.031,45,694.44
Read_max,,0.031,50,625.00
Write,1,0.031,431,72.51
Write,2,0.031,479,65.24
Write,3,0.031,468,66.77
Write,4,0.031,578,54.07
Write,5,0.031,558,56.00
Write_mean,,0.031,502,62.15
Write_median,,0.031,479,65.24
Write_stddev,,0.031,55,
Write_min,,0.031,431,72.51
Write_max,,0.031,578,54.07
Copy,1,0.031,101,309.41
Copy,2,0.031,99,315.66
Copy,3,0.031,100,312.50
Copy,4,0.031,108,289.35
Copy,5,0.031,107,292.06
Copy_mean,,0.031,103,303.40
Copy_median,,0.031,101,309.41
Copy_stddev,,0.031,3,
Copy_min,,0.031,99,315.66
Copy_max,,0.031,108,289.35
ServerCopy,1,0.031,438,71.35
ServerCopy,2,0.031,332,94.13
ServerCopy,3,0.031,348,89.80
ServerCopy,4,0.031,424,73.70
ServerCopy,5,0.031,320,97.66
ServerCopy_mean,,0.031,372,83.92
ServerCopy_median,,0.031,348,89.80
ServerCopy_stddev,,0.031,48,
ServerCopy_min,,0.031,320,97.66
ServerCopy_max,,0.031,438,71.35
Read,1,0.062,54,1157.41
Read,2,0.062,52,1201.92
Read,3,0.062,50,1250.00
Read,4,0.062,51,1225.49
Read,5,0.062,51,1225.49
Read_mean,,0.062,51,1211.24
Read_median,,0.062,51,1225.49
Read_stddev,,0.062,1,
Read_min,,0.062,50,1250.00
Read_max,,0.062,54,1157.41
Write,1,0.062,369,169.38
Write,2,0.062,426,146.71
Write,3,0.062,379,164.91
Write,4,0.062,382,163.61
Write,5,0.062,1336,46.78
Write_mean,,0.062,578,108.06
Write_median,,0.062,382,163.61
Write_stddev,,0.062,379,
Write_min,,0.062,369,169.38
Write_max,,0.062,1336,46.78
Copy,1,0.062,102,612.75
Copy,2,0.062,98,637.76
Copy,3,0.062,104,600.96
Copy,4,0.062,109,573.39
Copy,5,0.062,127,492.13
Copy_mean,,0.062,108,578.70
Copy_median,,0.062,104,600.96
Copy_stddev,,0.062,10,
Copy_min,,0.062,98,637.76
Copy_max,,0.062,127,492.13
ServerCopy,1,0.062,339,184.37
ServerCopy,2,0.062,341,183.28
ServerCopy,3,0.062,413,151.33
ServerCopy,4,0.062,404,154.70
ServerCopy,5,0.062,353,177.05
ServerCopy_mean,,0.062,370,168.92
ServerCopy_median,,0.062,353,177.05
ServerCopy_stddev,,0.062,31,
ServerCopy_min,,0.062,339,184.37
ServerCopy_max,,0.062,413,151.33
Read,1,0.125,58,2155.17
Read,2,0.125,54,2314.81
Read,3,0.125,51,2450.98
Read,4,0.125,51,2450.98
Read,5,0.125,52,2403.85
Read_mean,,0.125,53,2349.62
Read_median,,0.125,52,2403.85
Read_stddev,,0.125,2,
Read_min,,0.125,51,2450.98
Read_max,,0.125,58,2155.17
Write,1,0.125,492,254.07
Write,2,0.125,486,257.20
Write,3,0.125,509,245.58
Write,4,0.125,470,265.96
Write,5,0.125,520,240.38
Write_mean,,0.125,495,252.32
Write_median,,0.125,492,254.07
Write_stddev,,0.125,17,
Write_min,,0.125,470,265.96
Write_max,,0.125,520,240.38
Copy,1,0.125,130,961.54
Copy,2,0.125,133,939.85
Copy,3,0.125,135,925.93
Copy,4,0.125,127,984.25
Copy,5,0.125,126,992.06
Copy_mean,,0.125,130,960.06
Copy_median,,0.125,130,961.54
Copy_stddev,,0.125,3,
Copy_min,,0.125,126,992.06
Copy_max,,0.125,135,925.93
ServerCopy,1,0.125,388,322.16
ServerCopy,2,0.125,494,253.04
ServerCopy,3,0.125,372,336.02
ServerCopy,4,0.125,370,337.84
ServerCopy,5,0.125,412,303.40
